Team,League,Country,Gender,Tier,Season,URL,Pld,Pts,Max_Pts,GD,xGD,PPG,Team+Nat,EffAge
Aldosivi,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/e5927bd8/Aldosivi-Stats,25,33,75,-10,,1.32,Aldosivi (ARG),28.33376686717607
Argentinos Jun,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/d01a653b/Argentinos-Jun-Stats,25,32,75,1,,1.28,Argentinos Jun (ARG),27.160311220974997
Arsenal,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/4bee7ba3/Arsenal-Stats,24,20,72,-22,,0.8333333333333334,Arsenal (ARG),28.50787700084246
Banfield,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/06c1606c/Banfield-Stats,24,26,72,-5,,1.0833333333333333,Banfield (ARG),25.701884565116572
Boca Juniors,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/795ca75e/Boca-Juniors-Stats,25,41,75,16,,1.64,Boca Juniors (ARG),25.977039471015374
CA Huracán,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/1d3d37ae/CA-Huracan-Stats,25,38,75,3,,1.52,CA Huracán (ARG),27.788985999838147
CA Unión,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/5adc7e67/CA-Union-Stats,25,34,75,0,,1.36,CA Unión (ARG),24.920506164828033
CC Córdoba,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/9aa97c75/CC-Cordoba-Stats,25,26,75,-6,,1.04,CC Córdoba (ARG),27.527799180826474
Club Atlético Platense,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/3cbfa767/Club-Atletico-Platense-Stats,25,31,75,0,,1.24,Club Atlético Platense (ARG),27.276459372844915
Club Atlético Sarmiento,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/e9ae80b7/Club-Atletico-Sarmiento-Stats,25,24,75,-10,,0.96,Club Atlético Sarmiento (ARG),26.545050325397145
Colón,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/2d84bb17/Colon-Stats,25,39,75,-5,,1.56,Colón (ARG),27.55285084136579
Defensa y Just,Argentine Primera División,ARG,M,1,2021,https://fbref.com//en/squads/a4570206/Defensa-y-Just-Stats,25,47,75,19,,1.88,Defensa y Just (ARG),26.065738341968913
